"Netzarbeiter Extensions","Netzarbeiter Extensions"
"Groups Catalog 2","Groups Catalog 2"
"General","Allgemein"
"Enable Module","Modul aktivieren"
"Product Mode","Produkt Modus"
"Hide Products from","Verstecke Produkte vor"
"Hide products from these selected groups by default and show them to all others.","Produkte vor den ausgewählten Gruppen verstecken und allen anderen anzeigen."
"Show Products to","Zeige Produkte"
"Show products to these selected groups by default and hide them from all others.","Produkte den ausgewählten Gruppen anzeigen und vor allen anderen verstecken."
"Category Mode","Kategorie Modus"
"Hide Categories from","Verstecke Kategorien vor"
"Hide categories from these selected groups by default and show them to all others.","Kategorien vor den ausgewählten Gruppen verstecken und allen anderen anzeigen."
"Show Categories to","Kategorien anzeigen"
"Show categories to these selected groups by default and hide them from all others.","Kategorien den ausgewählten Gruppen anzeigen und vor allen anderen verstecken."
"Show to Groups","Gruppen anzeigen"
"Hide from Groups","Vor Gruppen verstecken"
"[ USE DEFAULT ]","[ STANDARD ]"
"[ NONE ]","[ KEINEN ]"
"GroupsCatalog Categories","GroupsCatalog Kategorien"
"Reindex Customergroup Category Visibility","Sichtbarkeit von Kategorien für Kundengruppen reindexieren"
"GroupsCatalog Products","GroupsCatalog Produkte"
"Reindex Customergroup Product Visibility","Sichtbarkeit von Produkten für Kundengruppen reindexieren"
"Show categories by default","Kategorien standardmäßig anzeigen"
"Hide categories by default","Kategorien standardmäßig verstecken"
"Show products by default","Produkte standardmäßig anzeigen"
"Hide products by default","Produkte standardmäßig verstecken"
"Enable","Aktivieren"
"Disable","Deaktivieren"
"Yes","Ja"
"No","Nein"
"Show 404 Page","404 Seite anzeigen"
"Redirect","Umleiten"
"How to handle guests accessing a hidden entity","Verhalten wenn Gäste auf eine versteckte Entität zugreifen"
"Redirect route for guests","Umleitungsziel für Gäste"
"How to handle logged in customers accessing a hidden entity","Verhalten wenn eingeloggte Kunden auf eine versteckte Entität zugreifen"
"Redirect route for logged in customers","Umleitungsziel für eingeloggte Kunden"
"Display a message when a hidden entity is accessed?","Soll eine Nachrich angezeigt werden, wenn auf eine versteckte Entität zugegriffen wird?"
"Message for guests","Nachricht für Gäste"
"Message for logged in customers","Nachricht für eingeloggte Kunden"
"Auto refresh CATEGORY cache","Kategorie-Cache automatisch aktualisieren"
"Automatically refresh the CATEGORY BLOCK HTML cache to update the category navigation when the visibility setting for a category is changed.","Den CATEGORY BLOCK HTML Cache automatisch aktualisieren wenn die Sichtbarkeits-Einstellungen einer Kategorie geändert werden um die Navigation aktuell zu halten."
"Format: [route]/[controller]/[action]","Format: [route]/[controller]/[action]"
"Show multiselect customer group fields","Kundengruppen Multiselect Felder im Backend anzeigen"
"Disable only if there is a very large number of customer groups and if the product and category settings are done using some import mechanism instead of the admin panel.","Nur deaktivieren wenn es sehr viele Kundengruppen gibt und die Produkt- und Kategorie-Einstellungen mittels eines Import Mechanismus gesetzt werden anstelle des Admin-Interfaces."
"This field is read-only.<br/>(change the ""Show multiselect customer group fields"" option further down to enable this field)","Dieses Feld kann nur gelesen werden.<br/>(ändern Sie ""Kundengruppen Multiselect Felder im Backend anzeigen"" um es zu aktivieren)"

