"Netzarbeiter Extensions","Netzarbeiter Modules"
"Groups Catalog 2","Groups Catalog 2"
"General","Algemeen"
"Enable Module","Module inschakelen"
"Product Mode","Productmodus"
"Hide Products from","Verberg producten voor"
"Hide products from these selected groups by default and show them to all others.","Verberg producten standaard voor deze geselecteerde groepen en toon bij alle anderen."
"Show Products to","Toon producten voor"
"Show products to these selected groups by default and hide them from all others.","Toon producten standaard voor deze geselecteerde groepen en verberg bij alle anderen."
"Category Mode","Categorie modus"
"Hide Categories from","Verberg categorieën voor"
"Hide categories from these selected groups by default and show them to all others.","Verberg categorieen standaard voor deze geselecteerde groepen en toon bij alle anderen."
"Show Categories to","Toon categorieën voor"
"Show categories to these selected groups by default and hide them from all others.","Toon categorieen standaard voor deze geselecteerde groepen en verberg bij alle anderen."
"Show to Groups","Toon voor groepen"
"Hide from Groups","Verberg voor groepen"
"[ USE DEFAULT ]","[ STANDAARD ]"
"[ NONE ]","[ GEEN ]"
"GroupsCatalog Categories","Klantgroepen Categorieën"
"Reindex Customergroup Category Visibility","Herindexeer klantgroep categorie-zichtbaarheid."
"GroupsCatalog Products","Klantgroepen producten"
"Reindex Customergroup Product Visibility","Herindexeer klantgroep product-zichtbaarheid."
"Show categories by default","Toon categorieën standaard"
"Hide categories by default","Verberg categorieën standaard"
"Show products by default","Toon producten standaard"
"Hide products by default","Verberg producten standaard"
"Enable","Inschakelen"
"Disable","Uitschakelen"
"Yes","Ja"
"No","Nee"
"Show 404 Page","Toon 404-pagina"
"Redirect","Doorverwijzen"
"How to handle guests accessing a hidden entity","Hoe omgaan met niet ingelogde bezoekers die een verborgen pagina proberen te laden."
"Redirect route for guests","Doorverwijs-route voor niet ingelogde bezoekers"
"How to handle logged in customers accessing a hidden entity","Hoe om te gaan met ingelogde bezoekers die een verborgen pagina proberen te laden."
"Redirect route for logged in customers","Doorverwijs-route voor ingelogde bezoekers."
"Display a message when a hidden entity is accessed?","Toon een bericht wanneer een verborgen pagina wordt geladen."
"Message for guests","Bericht voor niet ingelogde bezoekers"
"Message for logged in customers","Bericht voor ingelogde bezoekers"
"Auto refresh CATEGORY cache","Auto-ververs CATEGORIE-cache"
"Automatically refresh the CATEGORY BLOCK HTML cache to update the category navigation when the visibility setting for a category is changed.","Ververs automatisch de CATEGORY BLOCK HTML cache en werk de categorie navigatie bij wanneer de zichbaarheids-instelling voor een categorie is veranderd."
"Format: [route]/[controller]/[action]","Format: [route]/[controller]/[action]"

